epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3517.21,1.06024,2.34585,1.2372,0.702,0.67919,0.79064,0.54257,1.09591,1.96876,1.4197,0.000415964,0.000415964,0.000415964
2,5509.61,1.0724,1.41374,1.24366,0.79407,0.81351,0.86499,0.63319,0.97663,1.18511,1.28346,0.000791415,0.000791415,0.000791415
3,11252.9,1.06095,1.16475,1.23803,0.84136,0.77838,0.8536,0.61853,1.00104,1.0213,1.28063,0.00112562,0.00112562,0.00112562
4,15261.9,1.03493,1.04403,1.21263,0.83892,0.76026,0.85393,0.63534,0.94306,1.02113,1.23877,0.00106437,0.00106437,0.00106437
5,16408.9,0.99854,0.92118,1.18754,0.8712,0.86421,0.91657,0.6791,0.92669,0.74622,1.22227,0.0010025,0.0010025,0.0010025
6,17501.6,0.96278,0.86618,1.17169,0.90655,0.8719,0.92391,0.70608,0.89947,0.68723,1.19738,0.000940625,0.000940625,0.000940625
7,18578.6,0.95004,0.81371,1.17729,0.90267,0.88292,0.93745,0.71413,0.84209,0.66219,1.18195,0.00087875,0.00087875,0.00087875
8,19618.8,0.92607,0.76569,1.15239,0.90934,0.85773,0.92578,0.71027,0.84506,0.70666,1.19021,0.000816875,0.000816875,0.000816875
9,20609.8,0.91979,0.73878,1.14729,0.94806,0.85688,0.93794,0.72617,0.8354,0.60201,1.17241,0.000755,0.000755,0.000755
10,21593.2,0.89834,0.71366,1.13903,0.91565,0.88946,0.94553,0.74184,0.82093,0.56096,1.15509,0.000693125,0.000693125,0.000693125
11,22575,0.83393,0.61003,1.10724,0.91517,0.90579,0.94699,0.74808,0.82153,0.55721,1.15258,0.00063125,0.00063125,0.00063125
12,23550.1,0.81676,0.57762,1.10383,0.91809,0.92345,0.95599,0.74565,0.82493,0.52624,1.16876,0.000569375,0.000569375,0.000569375
13,25415.4,0.79412,0.54498,1.08604,0.94674,0.89222,0.94897,0.75141,0.79711,0.51677,1.14849,0.0005075,0.0005075,0.0005075
14,27700.6,0.77794,0.5221,1.0705,0.94273,0.92476,0.96251,0.76976,0.80237,0.48078,1.12333,0.000445625,0.000445625,0.000445625
15,28896.1,0.77246,0.4976,1.06532,0.94372,0.91865,0.96431,0.77211,0.78938,0.4781,1.13638,0.00038375,0.00038375,0.00038375
16,29883.3,0.75742,0.48646,1.05878,0.95043,0.92415,0.96473,0.77215,0.78777,0.4692,1.12929,0.000321875,0.000321875,0.000321875
17,30880.4,0.73182,0.45725,1.04301,0.96197,0.91923,0.96059,0.78057,0.7657,0.44241,1.1206,0.00026,0.00026,0.00026
18,31884.5,0.72547,0.43887,1.03828,0.96511,0.91539,0.96778,0.7778,0.77468,0.44188,1.10902,0.000198125,0.000198125,0.000198125
19,32893.9,0.71047,0.4206,1.02744,0.94972,0.92928,0.96851,0.79575,0.74298,0.42556,1.09998,0.00013625,0.00013625,0.00013625
20,33865.3,0.68964,0.40823,1.01075,0.93874,0.94011,0.96311,0.79457,0.75234,0.4109,1.10443,7.4375e-05,7.4375e-05,7.4375e-05
